lon,lat,x_utm_km,y_utm_km,n_events,n_online,proportion,hlogit
-55.475,-28.525,61.91370949226519,6836.45795298031,15210,5322.0,0.34990138067061144,-0.6194293479944452
-55.325,-30.824999999999996,86.16930658213568,6581.779177219173,2037,1923.0,0.9440353460972017,2.8213268991980556
-53.225,-29.724999999999998,284.7870040479724,6709.6136001543755,4886,4574.0,0.9361440851412198,2.6836482129431336
-52.925000000000004,-33.125,320.41480561129924,6333.206437894344,105,95.0,0.9047619047619048,2.207750990323207
-50.475,-28.874999999999996,551.1967491794785,6805.749914139673,394,49.0,0.12436548223350254,-1.94301997363308
-51.225,-29.974999999999998,478.2938053460519,6683.963550819532,75947,63894.0,0.8412972204300367,1.6678782114977064
-51.575,-29.074999999999996,444.03501541173665,6783.568510582292,7921,6694.0,0.8450953162479485,1.6963067130687586
-55.025000000000006,-27.974999999999998,103.97691709104326,6899.03495732309,664,221.0,0.3328313253012048,-0.6942752122644439
-52.175000000000004,-29.275,385.8551083615895,6760.973727008053,15734,14056.0,0.8933519766111605,2.1251843848118983
-50.675000000000004,-29.275,531.5709170798734,6761.502330107614,61,61.0,1.0,4.812184355372417
-50.575,-29.874999999999996,541.0417308648917,6694.98970730632,18029,15875.0,0.8805258195130068,1.9972183622720012
-54.575,-30.275,156.04365047871886,6645.327482398792,1706,1644.0,0.9636576787807737,3.270025108886756
-53.375,-30.424999999999997,271.88703270032335,6631.724600845587,2907,2172.0,0.7471620227038184,1.083083317098055
-52.575,-29.275,346.99278168706843,6760.517578266909,74,0.0,0.0,-5.003946305945459
-54.825,-29.874999999999996,130.48690685645536,6688.915999867698,3493,3071.0,0.8791869453192098,1.9837318738067535
-51.975,-30.424999999999997,406.36456544674814,6633.716199603577,51,0.0,0.0,-4.634728988229636
-56.125,-28.724999999999998,-0.8518325521134539,6811.69730765222,94,58.0,0.6170212765957447,0.47171449364936496
-52.625,-31.624999999999996,345.87927858618707,6499.982797648384,49,26.0,0.5306122448979592,0.12014431184206321
-52.125,-30.674999999999997,392.2348241058719,6605.875531960061,87,67.0,0.7701149425287356,1.1917027117341217
-54.225,-30.074999999999996,189.10807575308334,6668.51636979958,61,21.0,0.3442622950819672,-0.6332490389788763
-51.675000000000004,-28.674999999999997,434.0496183716365,6827.8343158933485,3103,1848.0,0.5955526909442475,0.3868405997790469
-50.825,-30.074999999999996,516.8656520457665,6672.891084982289,310,249.0,0.8032258064516129,1.400421740379101
-51.475,-30.424999999999997,454.3835611054123,6634.023921464275,4032,3745.0,0.9288194444444444,2.5670875381505325
-50.525000000000006,-29.424999999999997,546.0747218746535,6744.832701767836,291,249.0,0.8556701030927835,1.7699548392612021
-55.325,-29.324999999999996,79.86078863809834,6748.230615374156,57,9.0,0.15789473684210525,-1.6302719993369423
-55.175000000000004,-28.124999999999996,89.77507097562885,6881.897035040015,923,461.0,0.49945828819068255,-0.002164503009573014
-55.625,-29.775,52.67879075667506,6697.168051882736,833,591.0,0.709483793517407,0.8916599730409037
-51.975,-27.424999999999997,403.62881078848267,6966.112980192001,106,64.0,0.6037735849056604,0.4171611478713556
-50.375,-27.474999999999998,561.7475336221186,6960.7969752328845,220,201.0,0.9136363636363637,2.3353749158170367
-51.075,-28.424999999999997,492.65494409390055,6855.714453222925,120,75.0,0.625,0.5064203302980743
-54.025000000000006,-30.324999999999996,209.13439322351815,6641.322048054302,2732,2526.0,0.924597364568082,2.504289812330876
-53.425000000000004,-30.374999999999996,266.9644691880793,6637.1658232737445,3665,3068.0,0.8371077762619372,1.636189838023486
-51.825,-28.275,419.08922679188066,6872.057907453854,877,821.0,0.936145952109464,2.6768912993249274
-52.225,-30.174999999999997,382.05495394185124,6661.189153827116,8800,7961.0,0.9046590909090909,2.249566226778885
-51.325,-27.374999999999996,467.8626120067946,6971.987037997199,81,17.0,0.20987654320987653,-1.3044643428722584
-53.325,-32.425,281.3846562183432,6410.075540821999,34,22.0,0.6470588235294118,0.5877866649021191
-52.025000000000006,-31.124999999999996,402.27271539075286,6556.0929071006585,2141,1848.0,0.8631480616534329,1.8402521391085354
-52.675000000000004,-29.924999999999997,338.3171340692919,6688.346005589986,490,340.0,0.6938775510204082,0.8164520414006365
-55.425000000000004,-29.174999999999997,69.50717886917741,6764.51165575736,53,0.0,0.0,-4.672828834461907
-51.675000000000004,-29.074999999999996,434.3017529635232,6783.516913083321,444,48.0,0.10810810810810811,-2.1011122431314653
-49.925000000000004,-29.224999999999998,604.480603246355,6766.6073103707195,36,31.0,0.8611111111111112,1.7452394535931621
-50.775000000000006,-30.974999999999998,521.4854915062808,6573.14697683678,83,75.0,0.9036144578313253,2.184066492758708
-51.075,-29.324999999999996,492.7179720068126,6756.003961752197,1318,634.0,0.48103186646433993,-0.07585135757406124
-54.975,-30.275,117.52999856888096,6644.046307688908,4291,3958.0,0.9223957119552552,2.47397757925581
-51.525000000000006,-28.424999999999997,448.5842204135689,6855.604610688004,93,30.0,0.3225806451612903,-0.7333132222852801
-51.975,-30.724999999999998,406.6523834519411,6600.468505544399,49,48.0,0.9795918367346939,3.4760986898352733
-55.475,-29.924999999999997,67.85026628233224,6681.09540628521,788,438.0,0.5558375634517766,0.2239991053375929
-51.225,-27.424999999999997,477.76108406875716,6966.470560571019,720,585.0,0.8125,1.4634945427180166
-52.275000000000006,-31.775,379.2717991120418,6483.795994249059,61,54.0,0.8852459016393442,1.9832976811269336
-53.725,-29.724999999999998,236.40757678249298,6708.576715734612,13308,12462.0,0.936429215509468,2.6893692126969038
-55.825,-28.824999999999996,28.956060619281313,6801.82552868034,11978,552.0,0.04608448822841877,-3.029237064781031
-53.075,-30.525,300.9116234051307,6621.206505124681,49,3.0,0.061224489795918366,-2.5866893440979424
-50.725,-29.624999999999996,526.6223176161776,6722.734922274798,136,109.0,0.8014705882352942,1.38173854458403
-53.175000000000004,-33.224999999999994,297.3182329249217,6321.660594673224,184,159.0,0.8641304347826086,1.8333654700605189
-51.875,-28.025,413.98577485029045,6899.7196341279,778,348.0,0.4473007712082262,-0.2113090936672069
-51.475,-28.924999999999997,453.70139013864315,6800.230871049314,324,236.0,0.7283950617283951,0.9829456559181039
-53.325,-30.324999999999996,276.46311931384145,6642.910368157771,3275,3007.0,0.9181679389312977,2.4160135338999145
