lon,lat,x_utm_km,y_utm_km,n_events,n_online,proportion,hlogit
-54.075,-27.624999999999996,196.53443800853768,6940.5588931343,61029,45581.0,0.7468744367431877,1.0819900211949032
-53.225,-27.174999999999997,279.55643270040866,6992.226156800069,3830,2533.0,0.6613577023498695,0.6691624098759207
-55.475,-28.525,61.91370949226519,6836.45795298031,15210,5322.0,0.34990138067061144,-0.6194293479944452
-55.325,-30.824999999999996,86.16930658213568,6581.779177219173,2037,1923.0,0.9440353460972017,2.8213268991980556
-53.225,-29.724999999999998,284.7870040479724,6709.6136001543755,4886,4574.0,0.9361440851412198,2.6836482129431336
-54.325,-27.824999999999996,172.44651954183564,6917.743440136015,139301,76120.0,0.5464425955305418,0.18630607419979045
-50.475,-28.874999999999996,551.1967491794785,6805.749914139673,394,49.0,0.12436548223350254,-1.94301997363308
-53.825,-28.174999999999997,222.62617950884882,6880.181356688757,521,360.0,0.690978886756238,0.8029868140622926
-51.225,-29.974999999999998,478.2938053460519,6683.963550819532,75947,63894.0,0.8412972204300367,1.6678782114977064
-51.575,-29.074999999999996,444.03501541173665,6783.568510582292,7921,6694.0,0.8450953162479485,1.6963067130687586
-53.125,-27.775,290.60491755639396,6925.9115834869335,10326,8551.0,0.8281038156110788,1.5720246327566036
-53.025000000000006,-28.224999999999998,301.2889530370313,6876.21165284264,144,114.0,0.7916666666666666,1.3228481393809284
-55.025000000000006,-27.974999999999998,103.97691709104326,6899.03495732309,664,221.0,0.3328313253012048,-0.6942752122644439
-52.725,-27.424999999999997,329.4869617431332,6965.308199381324,40,31.0,0.775,1.1986957472250923
-52.175000000000004,-29.275,385.8551083615895,6760.973727008053,15734,14056.0,0.8933519766111605,2.1251843848118983
-50.675000000000004,-29.275,531.5709170798734,6761.502330107614,61,61.0,1.0,4.812184355372417
-50.575,-29.874999999999996,541.0417308648917,6694.98970730632,18029,15875.0,0.8805258195130068,1.9972183622720012
-52.225,-29.124999999999996,380.8241022867534,6777.545185401574,45457,32389.0,0.712519523945707,0.9076295417920861
-54.575,-30.275,156.04365047871886,6645.327482398792,1706,1644.0,0.9636576787807737,3.270025108886756
-53.375,-30.424999999999997,271.88703270032335,6631.724600845587,2907,2172.0,0.7471620227038184,1.083083317098055
-52.575,-29.275,346.99278168706843,6760.517578266909,74,0.0,0.0,-5.003946305945459
-52.475,-28.525,355.67449630691334,6843.751189090555,1814,1382.0,0.7618522601984564,1.1620664070245559
