label,csv,n,sigma2,beta_km,nu,tau2,eig_min,eig_max,cond
logit_delta005_canonical,data/delta_0.05_logit_utm.csv,5401,6.34485611,19.18492718,0.54733473,0.00000100,5.733933769981e-01,4.866543696043e+02,8.487268760447e+02
native_delta005_canonical,data/delta_0.05_utm.csv,5401,1.13654890,453.11557390,0.41416436,0.00100000,1.480465725743e-02,3.230604121865e+03,2.182153943647e+05
