-54.2462040000,-27.7802770000,1.0000000000
-54.3057400000,-27.6278270000,1.0000000000
-54.4673040000,-28.1570340000,0.0000000000
-54.5699460000,-27.7614880000,1.0000000000
-54.3649330000,-27.7779330000,0.0000000000
-51.1779170000,-29.9599340000,1.0000000000
-54.4638250000,-28.1555100000,1.0000000000
-51.4399410000,-29.8188480000,1.0000000000
-54.2261770000,-27.7816870000,1.0000000000
-54.4658090000,-27.8637890000,1.0000000000
-54.8630290000,-29.1807270000,1.0000000000
-54.1594580000,-27.7541450000,1.0000000000
-53.9160540000,-27.9236830000,1.0000000000
-52.6616480000,-28.4637790000,0.0000000000
-51.4184610000,-29.8067630000,1.0000000000
-54.4749570000,-27.8398610000,1.0000000000
-55.8446580000,-28.7332170000,0.0000000000
-51.3064770000,-30.0012590000,1.0000000000
-52.3952480000,-29.8427540000,1.0000000000
-51.9497950000,-29.4953780000,0.0000000000
-54.2377360000,-27.7782920000,1.0000000000
-51.1008000000,-29.9523790000,1.0000000000
-54.2531700000,-27.7818580000,1.0000000000
-53.8970760000,-28.3989180000,1.0000000000
-52.8602490000,-30.2656230000,1.0000000000
-54.3113020000,-27.6120800000,1.0000000000
-54.0993960000,-27.5011770000,1.0000000000
-52.9166910000,-30.0306470000,1.0000000000
-51.1425440000,-29.7704140000,1.0000000000
-51.0501630000,-29.9342610000,1.0000000000
-53.7516780000,-27.9721450000,1.0000000000
-54.2287670000,-27.7768540000,1.0000000000
-54.1407740000,-27.7986810000,0.0000000000
-54.3580970000,-28.0300790000,1.0000000000
-54.0977900000,-27.8706000000,1.0000000000
-54.2192920000,-27.6287690000,0.0000000000
-54.3641010000,-27.5025390000,1.0000000000
-54.4875300000,-27.7543130000,1.0000000000
-53.9461020000,-27.9207950000,0.0000000000
-54.2429470000,-27.7763210000,1.0000000000
-54.6594850000,-30.9864860000,1.0000000000
-54.3118900000,-27.6337340000,1.0000000000
-55.6851040000,-28.8718930000,0.0000000000
-54.2705880000,-27.5509990000,0.0000000000
-54.2668910000,-28.3154790000,1.0000000000
-54.3080410000,-27.6295570000,1.0000000000
-53.5405430000,-27.2122940000,0.0000000000
-54.3764230000,-27.5356480000,1.0000000000
-54.3101040000,-27.6113430000,1.0000000000
-54.2859800000,-27.7486150000,1.0000000000
-55.5179140000,-29.0470330000,0.0000000000
-54.0254860000,-27.8561900000,1.0000000000
-54.1918640000,-27.5626530000,0.0000000000
-53.7611850000,-29.5547520000,1.0000000000
-51.4524380000,-29.6688750000,1.0000000000
-51.3675120000,-29.8189370000,1.0000000000
-51.7855220000,-29.6167350000,1.0000000000
-54.2435190000,-27.7484550000,1.0000000000
-54.2463420000,-27.7522830000,0.0000000000
-54.0926360000,-27.8182740000,1.0000000000
-52.3923720000,-28.2508180000,1.0000000000
-51.7668270000,-29.5487920000,1.0000000000
-54.1885380000,-27.8016200000,1.0000000000
-53.1519470000,-27.8849510000,1.0000000000
-54.5434910000,-27.8523220000,0.0000000000
-54.2688830000,-27.7649140000,1.0000000000
